09:55:44.955465 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/bin
09:55:47.455845 http.c:915              <= Recv header, 0000000002 bytes (0x00000002)
09:55:47.455845 http.c:927              <= Recv header:
09:55:47.455845 http.c:968              == Info: Connection #0 to host github.com:443 left intact
09:55:47.455845 run-command.c:673       trace: run_command: 'git credential-manager store'
09:55:47.455845 run-command.c:934       trace: start_command: 'C:/Program Files/Git/usr/bin/sh.exe' -c 'git credential-manager store' 'git credential-manager store'
09:55:47.623948 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
09:55:47.654895 git.c:810               trace: exec: git-credential-manager store
09:55:47.654895 run-command.c:673       trace: run_command: git-credential-manager store
09:55:47.654895 run-command.c:934       trace: start_command: git-credential-manager store
09:55:47.879519 exec-cmd.c:266          trace: resolved executable dir: C:/Program Files/Git/mingw64/libexec/git-core
09:55:47.908751 git.c:502               trace: built-in: git config --null --list
Everything up-to-date
